reviewerID,asin,reviewerName,helpful,reviewText,Rating,summary,reviewTime,review_length
A24RCBRDXRXR0Y,B009A51Y10,James A. Nichols,"[0, 0]",one easiest screen protectors apply problems getting lined iphone also bubbles middle screen couple right edge couldnt get rid little pricey worth extra price work,4,One of the best Screen protectors.,"02 25, 2013",25.0
A3E7FNBOJTXWBK,B00D8YYT3O,Tyaneka H.,"[1, 1]",charger hardly worked sons phones sometimes would charge times would drain battery real fast,3,Alright,"06 7, 2014",14.0
A2V6ZTGTA7VQLK,B007RZLKOG,Tay foster,"[0, 0]",case also enjoy liked flag came easily putting phone table falls floor etc,1,American flag,"05 28, 2014",13.0
ASG7NBUSYD1QN,B0066BJB5C,Raul Vazquez,"[0, 0]",replaced brothers screen ordered case keep protected stumbled upon ballistic looks like heavy duty case arrived sure looked like take damage keeping phone harms way hours heard loud pop looked phone cracked case pretty tight idk bad luck people encountered problem wouldnt buy also dirt dust get screen protector would suggest lay another screen protector keep scratching,3,IDK how but it broke my brothers screen.,"05 10, 2013",57.0
A2DOSER5B087MF,B006USTXKO,TaAuna,"[0, 0]",case cute dont like case comes three parts first opened package thought received broken case find put together case come one piece,3,Cute but...,"06 2, 2013",22.0
ABLTF8NCSCA1H,B00BL7L398,"Debra L. Van Setten ""mom2ixkids""","[0, 0]",colors great love flat cords wind store much neater round cords,4,Love the flat cord,"04 29, 2014",11.0
A3RW1160H67ES9,B00CDJ6KUA,Bryan Denson,"[2, 3]",thing cheap sticks way past hip hitting things much 2 weeks broke lifeproof offer good warrently like otterbox would replace,1,Cheap don't buy,"03 7, 2014",20.0
A33ODUX6596NW3,B0047ELBOE,AmandaGal,"[2, 2]",dont think case useless limited use comes two somewhat separate parts handlebar assembly removable case assembly take case handlebar assembly snap back place perfectly fall quite easily first bump roadthat said make sure assembly secure really secure normally takes times removing putting back wont fall check ride every time even though never take case seems like bump right garage gets loose im glad phone insurance policyi operate phone somewhat plastic hard youre riding mostly wanted display runkeeper stats cycling thats problem ball joint adjustable havent major problem glare little expectedoverall good case wish case assembly handlebar assembly single piece guess see others would want remove whole case parking bikes personally take phone,3,It Mostly Works,"12 27, 2011",112.0
A1MKH1D3BE22BQ,B0099LATZ2,Justin Case,"[1, 2]",originally bought samsung galaxy note 2 newegx reason sent opinion get added reviews never got posted probably read since wouldnt let post opinion decided share transition switching iphone ios sgn2 android little bumpy well worth change despite great things already said phone one big caveat see slipped coffee table 18 floor onto tiled floor 2 weeks ended cracking small part front glass even though nillkin case phone still perfect working condition damage purely cosmeticsince im located us called samsung usa repairing screen give imei couldnt locate database unlocked phone directed international division calling 800 number informed call one two nearest authorized repair centers located canada whaaat point gave much hassle calling one person next decided leave phone current cracked state assume could gotten repaired chose deal currency exchange paying ship phone us expenseso long story short ever need service repair phone samsung usa support cell phone repair vendors mall like would preferred local samsung service center since still covered warranty would pay labor costs least would done specsthe way would get sgn2 servicerepair support phone sold subsidized us ridiculous international gn2 hardware us one,4,Despite all the hoopla...,"01 9, 2013",184.0
A2124ZHKK6JQ97,B009LAZG2M,Kijana King,"[0, 0]",didnt work galaxy s3 advertized real disappointment skiva sends one time email contact info asking contact posring negative review go figure wish read bad reviews wasting monwy rubbish,1,a bulky microusb charger for galaxy s3,"12 9, 2013",28.0
A3BTNXS43GTZDS,B009QUDLC4,"David E. Hayes ""Gun Nutt""","[0, 1]",im happy product screen protectors keep trying till find one like one,2,It was OK,"04 29, 2013",12.0
A1AH19J23TGC1X,B0073FE1F0,"Richard Parian ""TobyBoy4""","[0, 0]",belief negative reviews seem people read understand directions products works flawlessly used described plugged directly wall outlet work using kind circuit surge protector outlet outlet get connection,4,Works as it expect to work,"03 19, 2013",27.0
AG0SFC20IK167,B004889CKO,I Liz,"[0, 0]",good use iphone without cover case need kind extension connect phone cover case,3,dock cardle,"08 13, 2013",13.0
A17SZBM7AQC3Y9,B0050FXANY,Sylvia Ellis,"[0, 0]",got product time thought would need keep phone face getting scratches product wouldnt stay phone long would look like bubbles underneathe got installed professionally sellers issue manufactures problem,3,Displeased!!,"05 9, 2013",28.0
A35HTDQMSRF5I7,B00BPDYVDS,David,"[0, 0]",many said almost impossible apply without get fingerprints bubbles managed get without bubbles pressing hard sliding squeegee applying still tiny dust screen protector back side protector like dust magnet stickiness mean ability clean without making things worse ruined first one trying apply use 2nd one happy either would look elsewhere new screen protectors know problem different ones never used one problem exaggerated gotten armorsuit,2,Galaxy S4 Ultra Crystal - Worst experience I have had with a screen protector,"05 3, 2013",64.0
ADJFJZVTMM2ZX,B005X1Y7I2,Sherri,"[0, 0]",love product especially since phone always dying haha gets hot use kinda afraid may burn hasnt yet,4,portable charger,"01 14, 2014",17.0
A2G1UZ1S711WVI,B000I8ACMU,Robert J. Franklin,"[0, 0]",received 7th broke 10th didnt hit anything catch anything stay away cheaply made garbage,1,Junk,"08 10, 2013",14.0
A1FMU4CJLIDHR9,B00CL8XDF8,"Jaffrey W. Ali ""Relentless Pursuit of Technology""","[3, 3]",owned iphone 4s around year purpose review someone may considering iphone 4s current buy getting straight pros cons iphone1 extremely well balanced feature set makes ideal everyday use redesigned antenna works well even low signal areas music player web browser email client app store camera battery life best class opinion2 apple services maps app good ui good turn turn navigation points interest database isnt good google always use google maps browser like limitation opinion airplay useful also apple tv home imessage facetime unique platforms similar inbuilt apps iphone 4s implementation simply better ui much straightforward never ever locks device causes crash3 siri works well voice commands gotten much better late icloud also another well executed service want store music movies cloud access apple device iphone 4s integration icloud good dont need ever connect iphone 4s computer never connected mine pc year4 screen clear easily visible even direct sunlight even max brightness iphone 4s acceptable battery life large screen phones used max brightness battery life start declining fast rate nutshell iphone 4s one compromising acceptable battery life screen brightness5 may find apple ui boring advantage ui intrusive lets user focus squarely using apps fiddling features functions device6 size smaller typical android phone iphone 4s good overall feel daily use convenient guess play lot games larger screen may acceptable daily smartphone iphone 4s extremely well designed aesthetically size iphone 4s completely one hand operational without issues whatsoever phone also well balanced hold7 glass back likely break probably biggest drawback iphone 4s design someone drops phone simply get bumper bumper phone pretty much shatter proof dropped mine bumper several times phone still scratch freein opinion iphone 4s true classic easily meet needs people use smartphones extremely well balanced features design didnt really mention games strong point apple app store easily compelling games available smartphone even screen smaller iphone end difference screen size iphone 4s iphone 5 half inch iphone 4s larger android phones inch terms usability extra screen real estate matter much especially since ui 4s smooth responsive zooming issue much worse larger screen phones ui stutters apps crash need remove battery every reboot itthe iphone 4s one best consumer electronics products ever owned well executed believe considered classic 4s much better phone 4 justifies upgrade humble opinion jump 4s 5 much subtle terms phone,5,"Excellent professional smartphone, the whole is greater than the sum of it's parts","12 4, 2012",382.0
A2CGZKUFJU7UK6,B005SUHPO6,RedBeardMN,"[0, 0]",pros super heavy duty protection phonecons kind hard remove phone painters pocket jeans,4,Otterbox Defender,"09 24, 2012",13.0
A34I4NJJ8QI40Q,B005GGBYJ4,Hugh M,"[0, 0]",works perfectly wanted attaching canon camera nexus 7 tablet direct picture transfer tablet also works memory sticks,5,Perfect.,"03 2, 2013",17.0
AFD2INL0Q1MQL,B00F3583S8,Dogbots159,"[0, 0]",looks oem works great perfect use dock charging cradle nice never plug phone avoid giant battery cases,5,Perfect,"04 21, 2014",17.0
A1LB98T5DUUCDP,B00AA81MHC,Minerva Espino,"[0, 0]",relieved get poduct shipping date opened upset already broke still use carefully even though wasnt expensive disappointed broken product received 2 stars,2,unsatisfactory,"05 25, 2013",22.0
A57EZ0MURUR0D,B00ELPSUD4,MF,"[0, 0]",slippery hold rolls table easily hard screw thought getting tendinitis action,3,85% accuacy.,"05 11, 2014",11.0
A2FKXU13USTGK0,B006G7Z6VY,Luvnme1st n Philly,"[0, 0]",home button stickers cool love way make easier press home button place make ipod look funky,5,Cool,"11 11, 2012",16.0
